YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M
2023,1,1,26.84,22.12,24.48,27.23,5.7,29.97,24.26,16.6,76.25,0.05,100.75,1.81,2.75,0.1,2.64,204.88,2.25
2023,1,2,27.31,20.48,23.9,27.23,7.45,31.48,24.03,15.08,68.5,0.04,100.71,2.2,2.88,0.57,2.3,234.75,2.7
2023,1,3,27.07,19.33,23.2,27.12,6.98,30.8,23.82,13.98,63.81,0,100.75,2.37,3.14,1.52,1.62,188,3.04
2023,1,4,27.36,21.44,24.4,27.11,5.32,30.3,24.98,15.87,70.81,0.01,100.78,1.81,2.99,0.41,2.59,222.12,2.2
2023,1,5,27.13,22.44,24.78,27.04,5.12,30,24.87,16.91,76.19,0.2,100.76,2.65,3.89,1.92,1.97,228.19,3.35
2023,1,6,27.24,23.58,25.41,27.26,4.36,29.83,25.48,18.13,80.94,0.77,100.83,2.88,3.74,1.93,1.8,226,3.67
2023,1,7,27.41,23.88,25.65,27.48,5.28,30.56,25.28,18.43,81.88,1.4,100.8,2.77,3.57,1.27,2.3,235.94,3.45
2023,1,8,27.16,24.27,25.72,27.44,3.78,29.23,25.44,18.92,84.5,1.57,100.77,2.93,3.73,1.77,1.96,241.5,3.66
2023,1,9,27.25,24.26,25.76,27.16,3.52,29.49,25.98,18.86,84.06,0.79,100.81,2.79,3.77,0.52,3.26,248,3.6
2023,1,10,27.11,24.39,25.75,27.35,3.53,29.12,25.6,18.98,85.44,1.07,100.96,2.88,3.87,1.66,2.2,232.69,3.65
2023,1,11,27.87,24.06,25.97,28.13,5.84,31.27,25.44,18.68,80.75,1.17,100.87,2.99,4.37,1.37,3,233.19,3.79
2023,1,12,27.35,23.98,25.67,27.68,4.67,30.08,25.41,18.62,82.56,2.3,100.76,2.49,3.63,0.41,3.21,231.5,3.08
2023,1,13,27.93,23.94,25.94,28.07,5.04,30.85,25.82,18.55,79.62,1.14,100.66,2.09,2.87,0.3,2.56,223.19,2.61
2023,1,14,27.64,22.38,25.01,27.98,6.09,31.12,25.03,16.91,74.44,0.74,100.68,2.57,4.25,0.76,3.48,236.75,3.19
2023,1,15,27.67,23.87,25.77,28.42,5,30.43,25.43,18.43,80.31,1.17,100.71,2.91,3.68,2.13,1.55,203.69,3.62
2023,1,16,27.38,23.67,25.53,27.74,3.31,29.3,25.99,18.25,80.44,2.34,100.66,1.74,3.02,0.19,2.83,228.12,2.18
2023,1,17,28.06,23.47,25.76,28.19,5.44,31.52,26.08,18.07,77.19,1.56,100.65,2.16,3.77,0.23,3.53,215.94,2.72
2023,1,18,27.78,24.33,26.06,28.29,4.93,30.55,25.63,18.98,82,1.95,100.7,3.4,4.72,2.4,2.32,208.44,4.2
2023,1,19,28,24.43,26.22,28.4,4.13,30.55,26.42,19.1,81.31,2.54,100.7,3.43,4.8,1.85,2.95,222.62,4.3
2023,1,20,27.59,24.42,26.01,27.94,3.2,29.39,26.19,19.1,82.94,2.19,100.69,3.34,3.8,2.6,1.21,218.12,4.17
2023,1,21,27.74,24.67,26.21,28.02,3.71,29.8,26.08,19.41,83.56,2.49,100.66,3.68,4.37,3.13,1.23,227.69,4.67
2023,1,22,27.76,24.76,26.26,27.87,3.38,29.74,26.37,19.53,83.94,4.07,100.58,3.32,4.05,2.46,1.58,233.69,4.27
2023,1,23,27.61,24.55,26.08,27.8,3.14,29.41,26.27,19.23,83.5,3.54,100.62,3.28,3.75,2.81,0.94,233.56,4.2
2023,1,24,27.47,24.26,25.86,27.66,3.62,29.49,25.87,18.92,82.94,1.62,100.61,2.94,3.58,2.06,1.52,238.25,3.71
2023,1,25,27.9,24.17,26.04,28.19,4.73,30.66,25.94,18.8,80.62,1.38,100.55,3.19,4.2,1.59,2.61,221.94,4.02
2023,1,26,27.73,24.72,26.23,28.01,3.36,29.65,26.28,19.47,83.75,6.87,100.57,4.55,5.84,4.02,1.82,226.88,5.79
2023,1,27,28.21,24.2,26.21,28.33,3.98,30.57,26.59,18.86,79,3.67,100.58,4.47,5.51,3.25,2.26,228.12,5.66
2023,1,28,27.4,24.42,25.91,27.62,2.83,28.79,25.96,19.1,83.81,3.75,100.65,3.02,5.11,0.34,4.76,231.62,3.73
2023,1,29,27.04,24.43,25.73,27.36,3.2,28.82,25.62,19.1,85.81,2.86,100.62,3.62,4.13,2.83,1.3,230.94,4.64
2023,1,30,27.3,24.26,25.79,27.4,3.99,29.59,25.59,18.92,83.75,4.84,100.66,3.17,4.41,1.62,2.79,240.31,4.08
2023,1,31,27.39,23.99,25.69,27.48,3.58,29.58,26.01,18.55,82.06,2.52,100.78,3.31,4.35,2.19,2.16,199,4.34
2023,2,1,27.5,24.17,25.83,27.77,4.88,30.32,25.44,18.8,82.62,0.51,100.74,2.97,4.24,1.47,2.77,195.62,3.82
2023,2,2,27.47,24.19,25.83,27.73,4.27,29.92,25.65,18.8,82.62,0.81,100.76,2.91,3.54,2.55,0.99,182.94,3.84
2023,2,3,27.69,24.39,26.05,28.01,4.88,30.44,25.55,19.04,82.56,1.58,100.75,2.81,3.99,1.94,2.05,210.44,3.58
2023,2,4,27.62,24.73,26.18,27.76,3.56,29.71,26.15,19.47,84.44,4.66,100.68,3.38,4.52,2.25,2.27,241.31,4.41
2023,2,5,26.87,24.01,25.44,26.92,1.93,27.96,26.02,18.68,84.31,16.23,100.71,4.56,5.91,3.17,2.73,245.88,5.81
2023,2,6,27.62,22.75,25.19,27.76,4.87,30.52,25.65,17.21,75.06,1.66,100.69,4.44,7.05,2.58,4.48,231,5.61
2023,2,7,27.3,22.22,24.76,27.48,3.98,29.71,25.73,16.66,74,0.39,100.66,3.65,6.64,0.48,6.16,200.31,4.62
