YEAR,MO,DY,T2MDEW,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,QV2M,RH2M,PRECTOTCORR
1982,1,1,23.42,28.15,25.78,28.76,-267.71,31.27,25.83,100.59,2.85,3.79,1.66,2.12,187.06,3.45,18.07,76.56,0.47
1982,1,2,23.73,27.83,25.78,28.35,-268.09,30.97,25.9,100.49,3.35,4.72,1.84,2.88,212.44,4.12,18.43,79.31,1.5
1982,1,3,23.6,27.49,25.55,28.2,-268.48,30.24,25.57,100.55,3.2,4.18,2,2.18,204.56,3.92,18.25,80.12,2.27
1982,1,4,23.45,27.58,25.51,28.21,-268.56,30.21,25.62,100.58,3.09,3.48,2.34,1.14,211.81,3.78,18.07,79.06,1.96
1982,1,5,22.99,27.33,25.16,27.98,-268.19,30.29,25.33,100.58,2.61,4.02,0.35,3.66,174.19,3.27,17.58,78.25,2.91
1982,1,6,21.79,26.94,24.36,27.12,-268.47,29.91,25.23,100.65,1.97,3.09,0.09,3,144.5,2.56,16.42,75.06,1.56
1982,1,7,19.64,26.64,23.14,26.73,-266.9,30.31,24.06,100.72,2.76,4.05,0.59,3.45,124.5,3.53,14.59,68.81,0
1982,1,8,21.48,26.38,23.93,26.58,-267.93,29.51,24.3,100.81,2.63,4.14,1.24,2.9,106.81,3.3,16.05,75.88,0.19
1982,1,9,21.37,26.8,24.08,26.9,-267.31,30.23,24.39,100.88,2.59,3.23,1.88,1.37,124.44,3.26,15.93,73.94,0
1982,1,10,20.98,26.8,23.89,27.23,-266.69,30.53,24.06,100.8,2.27,3.38,1.55,1.83,190.62,2.88,15.69,72.88,0
1982,1,11,22.03,26.58,24.31,27.37,-267.49,29.9,24.24,100.71,2.91,4.85,1.09,3.77,201.12,3.5,16.6,77.44,0.08
1982,1,12,22.41,26.66,24.54,27.33,-268.27,29.37,24.48,100.7,3.13,4.12,2.12,2.02,192.06,3.78,16.97,78.25,0.03
1982,1,13,22.71,27.2,24.95,27.94,-268.61,29.81,25.27,100.72,3.13,4.07,2.5,1.57,204.38,3.8,17.27,77.19,0.1
1982,1,14,22.82,27.76,25.29,28.38,-267.16,31.1,25.12,100.6,3.77,5.34,2.75,2.59,219.38,4.58,17.4,75.62,0.17
1982,1,15,23.15,27.8,25.48,28.37,-267.54,31.26,25.65,100.54,4.11,5.59,2.61,2.98,217.44,4.98,17.76,77,0.21
1982,1,16,23.65,27.51,25.58,28.04,-268.33,30.3,25.48,100.57,4.16,5.02,3.55,1.47,217,5.12,18.31,80.25,7.3
1982,1,17,23.63,27.37,25.5,27.79,-268.87,29.87,25.59,100.64,4.18,4.8,3.77,1.04,215.44,5.2,18.25,80.69,3.82
1982,1,18,23.52,27.26,25.39,27.53,-269.12,29.62,25.59,100.67,4.2,5.19,3.72,1.46,220.06,5.3,18.13,80.62,6.71
1982,1,19,23.89,26.6,25.25,26.96,-270.91,28.01,25.78,100.74,3.43,3.84,2.56,1.29,211.81,4.27,18.49,85.25,10.77
1982,1,20,23.79,26.26,25.02,26.43,-271.05,27.52,25.42,100.74,4.07,4.95,3.62,1.33,223.62,5.15,18.37,86.31,12.36
1982,1,21,23.43,26.48,24.95,26.74,-269.65,28.61,25.11,100.76,3.53,4.21,2.69,1.52,231.75,4.43,18.01,83.69,2.71
1982,1,22,19.62,26.23,22.92,26.49,-268.25,29.37,24.47,100.78,2.87,4.52,0.89,3.62,186.75,3.85,14.4,68.94,1.96
1982,1,23,16.4,26.38,21.39,26.38,-266.29,30.26,23.4,100.71,1.98,3.3,0.34,2.97,211.31,2.73,11.72,56.19,0.37
1982,1,24,16.48,26.73,21.61,26.65,-265.77,30.75,23.37,100.68,2.36,3.55,1.78,1.77,146.44,3.05,11.9,55.31,0
1982,1,25,20.63,27.08,23.86,27.45,-266.88,30.62,24.37,100.67,1.88,3.71,0.63,3.09,181.44,2.33,15.26,69.44,0
1982,1,26,21.72,27.52,24.62,27.98,-266.85,30.97,24.66,100.72,2.2,3.76,1.08,2.67,172.88,2.78,16.3,72.06,0
1982,1,27,21.87,27.46,24.67,27.95,-266.7,31.14,24.69,100.77,2.34,3.83,1.26,2.57,193.31,2.95,16.54,73.88,0.03
1982,1,28,22.4,27.34,24.87,27.85,-266.99,31.14,24.98,100.83,2.79,3.77,1.66,2.12,219.25,3.43,17.03,76.38,0.51
1982,1,29,23.05,26.66,24.86,27.08,-269.04,29.21,25.1,100.84,3.19,3.83,2.46,1.37,219.38,3.98,17.64,81.44,0.4
1982,1,30,22.57,27.01,24.79,27.55,-268.15,30.16,25.16,100.86,2.23,3.34,1.09,2.26,190.94,2.71,17.15,78.06,0.39
1982,1,31,22.33,27.01,24.66,27.71,-268.43,29.81,25.08,100.83,2.3,3.66,0.7,2.96,170.81,2.8,16.85,76.44,0.15
1982,2,1,22.62,27.37,24.99,28.05,-267.95,30.24,25.05,100.76,2.68,3.73,1.25,2.48,174.5,3.23,17.15,76.06,0.03
1982,2,2,22.77,27.72,25.24,28.5,-267.55,30.96,25.36,100.56,2.7,4.39,0.85,3.54,182.25,3.21,17.33,75.56,0
1982,2,3,23.45,27.44,25.45,28.22,-268.45,30.23,25.52,100.49,3.44,4.34,2.85,1.49,197.44,4.18,18.07,79.5,0.04
1982,2,4,23.27,27.41,25.34,28.25,-268.04,30.52,25.41,100.58,3.31,4.7,1.39,3.3,186.44,3.95,17.88,79.06,0.21
1982,2,5,23.49,27.79,25.64,28.53,-267.44,31.15,25.44,100.61,3.54,4.91,1.93,2.98,212,4.19,18.13,78.56,0.58
1982,2,6,23.74,27.9,25.82,28.52,-268.17,30.93,25.94,100.62,4.44,6.15,2.92,3.23,220.06,5.36,18.37,79,0.3
1982,2,7,23.64,27.55,25.59,28.15,-269.06,30.14,26.05,100.62,4.09,4.76,3.27,1.48,211.69,4.92,18.25,79.88,0.32
1982,2,8,22.01,26.42,24.21,26.94,-269.67,28.56,25.08,100.7,2.52,3.12,1.91,1.2,163.25,3.12,16.54,77.31,0.1
